direccion	tamano	nombre_ghidra	decompila_limpio	estado	nota
80031e9c	180	FUN_80031e9c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80031e9c.c:9: request for member `unkD0' in something not a structure or union
80043de4	180	FUN_80043de4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80043de4.c:22: request for member `unk8' in something not a structure or union
8001589c	184	FUN_8001589c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8001589c.c:2: parse error before `?'
80045d30	184	FUN_80045d30	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80045d30.c:2: parse error before `?'
8004e324	184	FUN_8004e324	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004e324.c:2: parse error before `?'
80031408	188	FUN_80031408	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80031408.c:2: parse error before `?'
80041730	188	FUN_80041730	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80041730.c:13: request for member `unk0' in something not a structure or union
8004f148	188	FUN_8004f148	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004f148.c:9: parse error before `?'
80032048	192	FUN_80032048	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80032048.c:18: request for member `unk18' in something not a structure or union
80043f80	192	FUN_80043f80	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80043f80.c:17: request for member `unk0' in something not a structure or union
8004baa8	192	FUN_8004baa8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004baa8.c:3: parse error before `?'
80015208	200	FUN_80015208	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80015208.c:3: parse error before `?'
80028524	200	FUN_80028524	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80028524.c:2: parse error before `?'
80013788	204	FUN_80013788	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80013788.c:11: `saved_reg_gp' undeclared (first use this function)
800149ec	204	FUN_800149ec	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800149ec.c:11: `saved_reg_gp' undeclared (first use this function)
80015010	204	FUN_80015010	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80015010.c:2: parse error before `?'
80027ec0	204	FUN_80027ec0	si	NO_COMPILA	m2c no genero borrador: 
80045e84	204	FUN_80045e84	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80045e84.c:5: parse error before `?'
8004f870	204	FUN_8004f870	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004f870.c:2: parse error before `?'
80052654	204	FUN_80052654	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80052654.c:10: request for member `unk37' in something not a structure or union
80013bd4	208	FUN_80013bd4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80013bd4.c:4: parse error before `?'
80033588	208	FUN_80033588	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80033588.c:15: `saved_reg_gp' undeclared (first use this function)
800463b4	208	FUN_800463b4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800463b4.c:3: parse error before `?'
80054400	208	FUN_80054400	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80054400.*
8005ef30	208	FUN_8005ef30	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005ef30.c:2: parse error before `?'
80058a68	212	FUN_80058a68	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80058a68.c:6: parse error before `?'
8005a26c	212	FUN_8005a26c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005a26c.c:3: parse error before `?'
8002debc	216	FUN_8002debc	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002debc.c:2: parse error before `?'
80043c68	216	FUN_80043c68	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80043c68.c:3: parse error before `?'
80046484	216	FUN_80046484	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80046484.c:3: parse error before `?'
8004af84	216	FUN_8004af84	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004af84.c:3: parse error before `?'
80056a78	216	FUN_80056a78	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80056a78.*
80056b50	216	FUN_80056b50	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80056b50.*
800438f0	224	FUN_800438f0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800438f0.c:18: `NULL' undeclared (first use this function)
80046600	224	FUN_80046600	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80046600.c:14: `saved_reg_gp' undeclared (first use this function)
8004c78c	224	FUN_8004c78c	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8004c78c.c:(.text+0xb0): undefined reference to `D_80068640'
80043084	228	FUN_80043084	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80043084.c:2: parse error before `?'
80043e98	232	FUN_80043e98	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80043e98.c:16: `saved_reg_gp' undeclared (first use this function)
80059074	236	FUN_80059074	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_80059074.c:(.text+0xc8): undefined reference to `D_8006944C'
80031318	240	FUN_80031318	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80031318.c:4: parse error before `?'
8004fc70	240	FUN_8004fc70	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004fc70.c:3: parse error before `?'
80058b3c	240	FUN_80058b3c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80058b3c.c:14: request for member `unk1B8' in something not a structure or union
80025400	244	FUN_80025400	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80025400.c:11: `saved_reg_gp' undeclared (first use this function)
80015110	248	FUN_80015110	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80015110.c:2: parse error before `?'
80031f50	248	FUN_80031f50	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80031f50.c:14: `saved_reg_gp' undeclared (first use this function)
80035c0c	248	FUN_80035c0c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80035c0c.c:3: parse error before `?'
8003c0b8	248	FUN_8003c0b8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8003c0b8.c:2: parse error before `?'
80052720	248	FUN_80052720	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80052720.c:12: request for member `unkE8' in something not a structure or union
80028fcc	256	FUN_80028fcc	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80028fcc.c:3: parse error before `?'
80029458	256	FUN_80029458	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80029458.c:2: parse error before `?'
80058f74	256	FUN_80058f74	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_80058f74.c:(.text+0xf8): undefined reference to `D_80069418'
80051290	260	FUN_80051290	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80051290.c:3: request for member `unk2' in something not a structure or union
80059960	260	FUN_80059960	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80059960.c:2: parse error before `?'
800129c8	264	FUN_800129c8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800129c8.c:3: parse error before `?'
